"Station_ID (PK,FK)",EV_Level1_EVSE_Num,EV_Level2_EVSE_num,EV_DC_Fast_Count,EV_Onsite_Renewable_sources
116514,,12,,
116515,,1,,
116517,,3,,
116518,,2,,
116519,,3,,
116520,,2,,
116521,,2,,
116522,,2,,
116523,,2,,
116524,,1,,
116525,,2,,
116526,,3,,
116530,,12,,
116531,,3,,
116532,,9,,
116533,,2,,
116534,,3,,
116535,,2,,
116536,,3,,
116537,,3,,
116538,,2,,
116539,,3,,
116540,,5,,
116541,,8,,
116542,,2,,
116543,,2,,
116544,,4,,
116545,,2,,
116546,,2,,
116547,,3,,
116548,,12,,
116549,,2,,
116550,,2,,
116552,,3,,
116553,,4,,
116554,,6,,
116556,,60,,
116557,,3,,
116558,,3,,
116559,,32,,
116560,,1,,
116561,,8,,
116562,,2,,
116563,,2,,
116564,,24,,
116566,,30,,
116567,,2,,
116568,,2,,
116569,,6,,
116570,,2,,
116571,,2,,
116572,,4,,
116573,,3,,
116574,,3,,
116575,,2,,
116576,,3,,
116577,,2,,
116578,,2,,
116579,,3,,
116580,,3,,
116581,,1,,
116582,,1,,
116583,,1,,
116584,,1,,
116585,,1,,
116586,,1,,
116587,,3,,
116588,,3,,
116590,,4,,
116591,,5,,
116594,,2,,
116595,,1,,
116596,,3,,
116597,,2,,
116598,,1,,
116599,,1,,
116600,,6,,
116601,,1,,
116602,,2,,
116603,,2,,
116604,,1,,
116605,,2,,
116606,,1,,
116612,,6,,
116613,,1,,
116614,,3,,
116615,,2,,
116616,,3,,
116617,,2,,
116618,,2,,
116619,,5,,
116620,,2,,
116621,,3,,
116622,,1,,
116624,,10,,
116625,,12,,
116628,,8,,
116629,,3,,
116630,,3,,
116631,,9,,
116632,,12,,
116633,,3,,
116634,,3,,
116635,,3,,
116636,,2,,
116637,,25,,
116639,,2,,
116640,,2,,
116641,,12,,
116643,,3,,
116644,,2,,
116646,,1,,
116648,,2,,
116649,,7,,
116651,,2,,
116652,,3,,
116653,,3,,
116656,,2,,
116657,,2,,
116658,,3,,
116660,,5,,
116662,,1,,
116663,,1,,
116664,,3,,
116665,,3,,
116666,,3,,
116667,,3,,
116668,,3,,
116669,,2,,
116670,,1,,
116671,,2,,
116672,,2,,
116673,,3,,
116674,,5,,
116675,,2,,
116676,,1,,
116677,,2,,
116678,,1,,
116679,,2,,
116680,,2,,
116681,,1,,
116682,,1,,
116683,,3,,
116685,,2,,
116686,,2,,
116687,,2,,
116688,,3,,
116689,,1,,
116690,,1,,
116691,,1,,
116692,,2,,
116693,,2,,
116694,,3,,
116695,,3,,
116696,,3,,
116697,,1,,
116698,,2,,
116699,,1,,
116700,,8,,
116701,,2,,
116702,,3,,
116703,,2,,
116705,,3,,
116706,,3,,
116708,,9,,
116709,,1,,
116710,,2,,
116711,,1,,
116712,,1,,
116713,,3,,
116739,,2,,
116831,,1,,
116947,,2,,
116995,,2,,
117164,,1,,
117209,,2,,
117210,,2,,
117233,,2,,
117363,,2,,
117487,,2,,
117488,,2,,
117532,,2,,
117549,,,1,
117581,,2,,
117689,,1,,
117690,,2,,
117706,,2,,
117764,,1,,
117789,,2,,
117838,,2,,
117840,,1,,
117841,,2,,
118325,,2,,
118344,,2,,
118689,,2,,
118712,,2,,
118733,,2,,
118734,,2,,
118920,,2,,
118980,,2,,
118985,,2,,
118986,,2,,
118988,,2,,
119060,,2,,
119078,,2,,
120899,,8,,
120900,,2,,
120901,,4,,
120921,,2,,
120922,,2,,
121041,,1,,
121042,,1,,
121060,,2,,
121062,,2,,
121133,,2,,
121250,,1,,
121251,,1,,
121252,,1,,
121276,,2,,
121277,,2,,
121278,,2,,
121367,,2,,
121368,,2,,
121369,,2,,
121370,,1,,
121494,,2,,
121558,,,1,
121586,,2,,
121620,,2,,
122250,,,8,
122251,,,20,
122252,,,20,
122253,,,20,
122254,,,20,
122255,,,8,
